study,id,date,sessionID,startTime,endTime,timeToComplete,Remove,country,sourceIP(hash with salt),ageGroup6,ageGroup6Text,ageGroup3,ageGroup3Text,sex,previousVote,intendReferendumVote,ethnicity,religion,privacy,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,expType,adp1,adp1_num,adpRiskyChoice,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,RWAScore
study3,11,20160430,8bef00893dfadef3049888c82ccc4f07,04/30/2016 5:28,04/30/2016 5:35,7,Keep,GB,94afa6827662023faf17398cabdc0865ea25516ec4bdb3b43ffe8d4c3765a1d0,2,Age 25-34,1,18_to_34,Male,Labour,Remain,a,3,2,1,3,2,1,1,1,2,2,1,1,1,1,1,1,A,a,1,0,1,1,9,1,1,1,1,5,1,2,1,1,1,5,1,1,7,1,1,1,1,1,43
study3,12,20160430,6f923fb8c01970b76a11c3e871d3b12b,04/30/2016 5:27,04/30/2016 5:35,8,Keep,GB,98787449a184c3107af2d523fa13682836074c7b7b9e42d2434d084b0ef58cf0,1,Age 18-24,1,18_to_34,Male,UKIP,Leave,a,5,1,4,4,5,3,5,3,5,4,4,1,1,1,2,3,A,a,1,0,5,2,3,6,3,5,7,7,4,9,5,9,5,8,5,6,5,6,4,3,5,6,111
study3,13,20160430,57fca2cc246eb9f66831651c1a958ddf,04/30/2016 5:27,04/30/2016 5:36,9,Keep,GB,cac05bf78715edd04bbf01790e250eff0fed68635d40c89900f70ed25e2d0e16,5,Age 55-64,3,55_and_over,Male,UKIP,Leave,a,1,2,5,5,5,3,5,4,5,5,5,5,1,2,3,5,B,b,2,1,2,1,8,3,2,1,8,2,2,3,3,8,4,7,2,2,5,2,7,2,3,8,82
study3,14,20160430,72cae6743cd302ec7d2c43bf76dd49bf,04/30/2016 5:48,04/30/2016 5:54,6,Keep,GB,1a9d7c93fb8251b41052d73cd0c5a3ff23f13f3fd5d2153fdd11c05755cdb566,5,Age 55-64,3,55_and_over,Male,Labour,Leave,a,4,1,3,3,5,1,3,2,5,4,1,2,3,1,1,3,A,b,2,1,1,1,9,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,9,1,1,37
study3,15,20160430,7cc550722125520139423752e9bee52d,04/30/2016 5:52,04/30/2016 5:56,4,Keep,GB,e048c5db39c8cd650eec3b07d95898a8987997d79dfd3d65792feb235da9a361,2,Age 25-34,1,18_to_34,Female,Labour,Spoil,a,5,1,2,2,3,1,3,2,2,3,1,2,2,1,1,2,A,b,2,1,2,2,8,5,3,4,1,6,4,3,1,4,4,1,4,5,5,4,2,4,4,3,75
study3,16,20160430,3f0e5c815ddc6f4d40d68237fa6e0219,04/30/2016 5:57,04/30/2016 6:07,10,Keep,GB,cb53ac9968d40f74f021702cb9c815a847a4a5d3222150c8f956162a7a5484cc,5,Age 55-64,3,55_and_over,Male,UKIP,Leave,a,1,1,2,5,4,4,5,2,1,2,5,1,4,1,1,5,A,b,2,1,2,1,8,2,1,1,5,2,1,1,1,5,3,2,3,2,1,1,1,2,5,2,49
study3,17,20160430,079ca36cdfbd6cd6d6dd5794a1be47ba,04/30/2016 5:56,04/30/2016 6:07,11,Keep,GB,cd1b50cbe687539829a1c803b3e16c728d22d917ec62e50bcf28140be0803edc,4,Age 45-54,2,35_to_54,Male,UKIP,Leave,a,3,5,5,5,5,5,5,4,5,5,5,3,1,4,2,5,A,b,2,1,3,3,8,3,3,3,7,2,3,7,3,8,4,5,6,2,8,2,5,4,5,5,93
study3,18,20160430,6fb2bac0b7ea45bc5474d01497d0d856,04/30/2016 5:56,04/30/2016 6:11,15,Keep,GB,1a77eed757fb91f1df168217e4753b2bbc3d264391827b84e8737a9633c9fa65,6,Age 65+,3,55_and_over,Male,UKIP,Leave,a,4,3,5,5,5,2,5,5,5,5,5,1,2,1,5,4,A,b,2,1,2,1,1,8,3,5,9,2,3,9,2,7,5,9,1,5,9,2,9,2,7,3,101
study3,19,20160430,f3c05b09d330f2ac0f9f549a8c4fc22d,04/30/2016 5:50,04/30/2016 6:14,24,Keep,GB,2e011ab848f22e12eedf2036998c5b01e9980058f718ce7e198d5d79d238fec7,2,Age 25-34,1,18_to_34,Male,LibDem,Remain,a,1,1,1,2,5,1,4,1,4,4,1,1,5,2,1,1,A,b,2,1,4,2,7,3,4,3,1,4,2,7,2,2,2,9,3,3,6,3,4,3,4,4,76
study3,20,20160430,b6c07dc7bf17de3cc966289931d70124,04/30/2016 6:14,04/30/2016 6:14,0,Remove,GB,1a77eed757fb91f1df168217e4753b2bbc3d264391827b84e8737a9633c9fa65,6,Age 65+,3,55_and_over,Male,UKIP,Leave,a,4,3,5,5,5,2,5,5,5,5,5,1,2,1,5,4,A,b,2,1,2,1,1,8,3,5,9,2,3,9,2,7,5,9,1,5,9,2,9,2,7,3,101
study3,21,20160430,4e95c617b9f8a7a3c1c2d4328689a306,04/30/2016 6:10,04/30/2016 6:25,15,Keep,GB,431d9f0ea1c9e5589ff8cf52aa310a980e8c89be536fc9c4632946de75bd8969,4,Age 45-54,2,35_to_54,Female,Labour,Remain,a,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,3,A,a,1,0,2,1,9,1,3,1,1,2,1,1,1,6,1,3,2,1,2,1,1,1,3,1,42
study3,22,20160430,25ce7efd19b03424f23094c6835fb257,04/30/2016 6:15,04/30/2016 6:25,10,Keep,GB,94493b6f788e96cac666d0005e119f007311061dacf2a40118a1d4df35fd5c96,4,Age 45-54,2,35_to_54,Male,NoVote,Remain,a,3,1,1,1,5,1,5,1,2,1,1,1,5,1,1,1,B,b,2,1,1,1,9,1,2,1,9,1,1,6,9,9,1,6,1,6,6,1,6,4,1,6,86
study3,23,20160430,645a364342c7d6e10a5c8fd1225658d5,04/30/2016 6:19,04/30/2016 6:30,11,Keep,GB,1a12db34dfc36eaa5dc5231290abf0d24272c2b5191a958f1da1279396ba1716,6,Age 65+,3,55_and_over,Female,UKIP,Leave,a,3,5,2,5,5,5,5,5,5,5,5,2,3,1,2,3,B,b,2,1,2,9,3,3,3,1,8,5,2,9,2,9,4,9,2,2,9,1,7,1,5,7,92
study3,24,20160430,e706afff0417eaac44c0239051f649fa,04/30/2016 6:23,04/30/2016 6:38,15,Keep,GB,f88cb00fa454207ac660fd32279e4dd1b970c509a9a17b73330725b8df6980d3,2,Age 25-34,1,18_to_34,Male,Green,Leave,a,1,1,5,5,5,5,5,4,5,5,5,4,2,1,1,5,B,b,2,1,1,1,7,1,1,1,3,5,5,5,4,4,4,5,3,1,5,1,1,1,1,1,59
study3,25,20160430,b01b90fdfe2927ab7ea1165a448e6fd6,04/30/2016 5:44,04/30/2016 6:38,54,Keep,GB,e8b14ccac2f57929de3975bd1eb17da1b1a9c1a36bb9604586de65ed290dc399,4,Age 45-54,2,35_to_54,Male,LibDem,Remain,a,4,3,1,2,1,1,1,3,1,3,1,2,2,1,1,1,B,a,1,0,7,1,9,1,7,1,2,1,2,1,1,4,3,1,3,1,1,1,1,2,1,2,45
study3,26,20160430,228bf502481a09279a35ab3005dd84e1,04/30/2016 6:29,04/30/2016 6:38,9,Keep,GB,78689ab96b520b0cd1ca64d7c4588bd686b79d4fac43b13a1e6151339ed481f0,3,Age 35-44,2,35_to_54,Male,Con,Spoil,a,4,4,2,3,5,3,4,3,4,3,2,1,3,1,2,4,A,a,1,0,3,1,8,1,5,3,2,3,3,2,2,3,4,2,3,3,6,2,3,3,6,2,66
study3,27,20160430,680eaf8d04e0e677a5c0d081261c7134,04/30/2016 6:28,04/30/2016 6:38,10,Keep,GB,3433727402f361b7230a512dd059a6e35b3e3dbab1f7fd6db6fe7df991a42112,3,Age 35-44,2,35_to_54,Female,UKIP,Leave,a,2,5,4,5,4,4,5,4,3,5,5,1,4,1,2,3,A,a,1,0,3,1,7,1,3,2,8,1,2,8,2,7,2,8,3,1,9,1,7,2,3,3,80
study3,28,20160430,3f3c306587b99a71028cf73daff880b6,04/30/2016 6:34,04/30/2016 6:39,5,Keep,GB,d922e1ca635a884709ee6197dc8076086f1a32d0d014a9cdbe03aa3c052079b7,4,Age 45-54,2,35_to_54,Male,Labour,Remain,a,1,5,2,4,2,2,2,2,4,2,1,1,2,1,1,4,B,b,2,1,3,1,9,1,7,5,1,1,1,5,1,5,3,5,3,1,1,9,3,1,5,2,69
study3,29,20160430,41b2cee7ee117a8d4af9b23a0e489385,04/30/2016 6:34,04/30/2016 6:40,6,Keep,GB,431d9f0ea1c9e5589ff8cf52aa310a980e8c89be536fc9c4632946de75bd8969,4,Age 45-54,2,35_to_54,Male,Labour,Remain,a,1,1,2,2,4,1,1,2,2,1,1,4,2,2,1,1,A,b,2,1,3,1,9,2,1,1,1,1,3,1,2,2,1,1,1,1,1,1,2,1,1,1,34
study3,30,20160430,f0fcd2edea21d85847cba855c7893e46,04/30/2016 6:34,04/30/2016 6:40,6,Keep,GB,f64cc5a0b45f5fc77c08616496e7228cc9f54e0b77f35471893d7edd7c5cdf28,4,Age 45-54,2,35_to_54,Male,LibDem,Leave,a,1,1,4,5,3,2,5,2,4,5,3,1,5,1,1,5,B,b,2,1,7,2,3,2,4,1,7,2,1,1,1,7,1,7,3,1,1,1,4,1,7,4,59
study3,31,20160430,fe2c4e095566ec6db7ff70d155afe9b0,04/30/2016 6:42,04/30/2016 6:47,5,Keep,GB,a7fe18520baf2b129bddd52790672eeff4877daba93078c1e89e13baabfa7ccd,4,Age 45-54,2,35_to_54,Female,Labour,Remain,a,1,1,1,2,2,1,2,1,2,1,1,4,1,1,1,2,B,b,2,1,2,1,9,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,31
study3,32,20160430,01c672ca5ccca8dbc256b9ea5da8237c,04/30/2016 6:49,04/30/2016 6:54,5,Keep,GB,13ffa1142012427760f96df29018e4e01470713e7d14d75b49ab6788130d8837,5,Age 55-64,3,55_and_over,Male,UKIP,Leave,a,5,5,5,5,5,1,5,5,5,5,5,5,1,1,1,5,B,b,2,1,1,1,1,1,1,1,9,1,1,9,1,9,9,9,3,9,9,1,5,1,1,1,82
study3,33,20160430,c5cbabd450b1605415668a39a5dca28e,04/30/2016 6:48,04/30/2016 6:58,10,Keep,GB,abdcc4783c9b5792e5fac6051ff703c1323f7780acbd2ad21c0867edbd0afc42,6,Age 65+,3,55_and_over,Male,UKIP,Leave,a,1,1,4,4,4,2,4,5,5,5,5,2,3,1,2,4,B,a,1,0,3,1,9,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,5,1,34
study3,34,20160430,03d71900b860ce0c901dd30c646c5ae9,04/30/2016 6:55,04/30/2016 7:05,10,Keep,GB,3a3923c021521d4edd31426cb2ed8625bc7c38f09064a5e344ee2506ddca6bfd,4,Age 45-54,2,35_to_54,Male,Labour,Remain,a,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,B,b,2,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,30
study3,35,20160430,1349e8381c975aaa1a4a859049c06d7f,04/30/2016 6:50,04/30/2016 7:06,16,Keep,GB,13770581a71c445122d8ae3ebc86a8410f05a500114ca15bf4e3d5120e63bf46,4,Age 45-54,2,35_to_54,Male,UKIP,Leave,a,4,1,5,5,5,5,5,5,5,5,5,5,5,1,3,5,B,b,2,1,3,9,1,7,1,5,3,1,1,5,1,5,3,5,3,1,5,1,5,1,5,9,68
study3,36,20160430,91f92d57554436d544de54eeea47d639,04/30/2016 7:01,04/30/2016 7:12,11,Keep,GB,dbeec1bc206c432973034b590868d6a300948f10c6f1b0ddc73b818e1bcce3a4,4,Age 45-54,2,35_to_54,Male,UKIP,Leave,a,4,5,5,5,5,2,5,4,5,5,5,5,5,1,1,5,A,a,1,0,7,4,7,1,5,4,4,1,4,1,1,6,4,5,4,3,6,1,4,1,6,4,72
study3,37,20160430,63e5b68f698148d76a59d78e63384a49,04/30/2016 7:04,04/30/2016 7:14,10,Keep,GB,3151f9ff7080106389f0af370436896e2f813be18b5c8fa2932ffb5713112c24,3,Age 35-44,2,35_to_54,Male,Labour,Remain,a,1,2,1,2,1,1,2,2,3,2,5,4,1,1,1,5,A,b,2,1,5,1,5,1,3,1,3,1,1,1,1,3,3,4,3,1,1,3,3,1,6,1,46
study3,38,20160430,c580f4c071e867e79e7989b446c5a1ee,04/30/2016 7:09,04/30/2016 7:17,8,Keep,GB,d5d10acb570dda137886930cfe3362d733851721d7acead821ba9e4e776968a2,4,Age 45-54,2,35_to_54,Female,Labour,Remain,a,4,1,2,3,2,1,2,4,4,3,3,2,3,1,1,3,B,b,2,1,3,1,9,1,3,2,1,5,4,1,2,7,3,5,3,1,3,1,2,1,1,2,57
study3,39,20160430,7df31ece500bb935c676c2dfa122ddec,04/30/2016 6:55,04/30/2016 7:18,23,Keep,GB,d8e0171b203a7a1f4b54a723bdb015dd74adbdeee8ca7b0870526ed7cee2f7c5,2,Age 25-34,1,18_to_34,Male,Labour,Remain,a,4,1,1,2,2,1,1,2,2,1,1,3,2,1,1,2,B,b,2,1,5,1,9,1,4,2,6,1,2,2,1,2,4,5,4,1,2,1,3,2,1,5,58
study3,40,20160430,0b6139cedf8cd9c6bde7ed02768dfd69,04/30/2016 7:13,04/30/2016 7:21,8,Keep,GB,17baefcb4edbd2e07ab639d5c58eff48184ef09c69fc008feba32f77b8fb8a38,5,Age 55-64,3,55_and_over,Female,Green,Remain,a,3,3,1,3,2,1,1,1,3,4,1,1,2,1,1,2,A,a,1,0,2,1,8,1,3,3,5,1,1,6,1,5,3,5,3,2,5,1,2,1,2,2,60
study3,41,20160430,9f9879fe92cbb6f2c82d5a95264d8457,04/30/2016 7:04,04/30/2016 7:23,19,Keep,GB,f0368c753da3661688690820677e57237ac2d33c630e420c74de3a11c92fc114,6,Age 65+,3,55_and_over,Male,UKIP,Leave,a,3,3,5,5,5,4,5,5,5,4,4,4,2,1,1,4,A,a,1,0,2,1,5,2,1,3,5,5,2,5,2,8,2,4,3,9,9,9,8,9,2,8,101
study3,42,20160430,090a8ca0a33fe66142cb458cb3924e8b,04/30/2016 7:23,04/30/2016 7:24,1,Remove,GB,f0368c753da3661688690820677e57237ac2d33c630e420c74de3a11c92fc114,6,Age 65+,3,55_and_over,Male,UKIP,Leave,a,3,3,5,5,5,4,5,5,5,4,4,4,2,1,1,4,A,a,1,0,2,1,5,2,1,3,5,5,2,5,2,8,2,4,3,9,9,9,8,9,2,8,101
study3,43,20160430,852b403bf25bedee7171e94bb15d8ef0,04/30/2016 7:12,04/30/2016 7:24,12,Keep,GB,d739d0ea7ae1f5e1464a3371302da43045615dad43b21331a7da7fba36ff4c78,4,Age 45-54,2,35_to_54,Male,UKIP,Leave,a,3,5,4,5,5,5,5,5,5,5,5,5,3,4,4,4,A,b,2,1,1,1,1,1,1,1,9,1,1,9,1,9,9,9,1,9,9,1,9,5,3,9,98
study3,44,20160430,a8142022dbf724c60c371f04eb5bb7dc,04/30/2016 7:20,04/30/2016 7:24,4,Keep,GB,2594a8c5ee000bee7656a3c9b7a07b07e2d71f3373053c681e91f25fb2cc0b8d,1,Age 18-24,1,18_to_34,Male,Con,Leave,a,1,2,5,4,5,3,4,3,4,3,2,5,4,2,2,5,A,a,1,0,4,2,9,1,3,1,3,5,3,3,2,3,4,1,5,1,4,2,3,2,4,3,62
study3,45,20160430,6816c8c1d23b9d3f64be0c6960dbeda1,04/30/2016 7:23,04/30/2016 7:29,6,Keep,GB,b50a0f31249134dcb98f6544f063d8616fd1c992454c433e3cbe346d89ddbcdb,4,Age 45-54,2,35_to_54,Female,Labour,Remain,a,1,3,1,2,2,1,1,2,2,3,1,5,2,1,1,2,A,b,2,1,3,1,9,1,3,1,2,2,3,4,1,5,2,6,2,1,2,2,2,1,3,2,54
study3,46,20160430,51903c89b522640aaca9d7b0ce19072e,04/30/2016 7:19,04/30/2016 7:29,10,Keep,GB,583722437e3a45b21dce4bb17b9b3f79fcce40c2f2e7482cdd62b09d1d340de6,6,Age 65+,3,55_and_over,Male,Con,Remain,a,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,A,b,2,1,1,3,9,9,1,9,1,9,9,9,2,1,9,1,9,1,1,9,1,9,9,1,109
study3,47,20160430,15a61b69bcf8e6368cf2cef047333613,04/30/2016 7:29,04/30/2016 7:39,10,Keep,GB,451ae996730548246f7f075f74f2446a865fd3644b0c7adb716ae1d0ff2d57a5,1,Age 18-24,1,18_to_34,Female,Labour,Remain,a,1,3,2,2,3,4,2,1,2,1,1,1,1,1,1,1,A,a,1,0,3,1,9,1,1,1,1,3,1,1,1,3,1,7,1,1,1,1,1,1,3,1,40
study3,48,20160430,682ece1dbc03c86ca46093a5430e4964,04/30/2016 7:39,04/30/2016 7:42,3,Keep,GB,451ae996730548246f7f075f74f2446a865fd3644b0c7adb716ae1d0ff2d57a5,1,Age 18-24,1,18_to_34,Female,Labour,Remain,a,1,2,2,2,3,4,2,1,3,1,1,1,2,1,1,2,A,a,1,0,3,1,9,1,1,1,1,3,1,1,1,3,1,6,1,1,2,1,1,1,3,1,40
study3,49,20160430,7d38c033eaac7db7f8f9931cdfc2d136,04/30/2016 7:34,04/30/2016 7:42,8,Keep,GB,e0bab5ea1f3e57fdc2b09122fab995be04eef35a67bf5871baecb38d7f9ff30c,5,Age 55-64,3,55_and_over,Male,Labour,Leave,a,1,5,1,5,5,4,5,4,5,5,4,1,2,1,3,5,A,a,1,0,3,5,3,5,3,1,9,6,3,7,4,6,4,6,3,3,9,3,7,3,6,6,97
study3,50,20160430,3edad0ff97596d71b196b610e971f522,04/30/2016 7:33,04/30/2016 7:45,12,Keep,GB,9de3b16f8b93fdcb89d427844d4a934201f527442a6a912267d87f0fffd3af0d,5,Age 55-64,3,55_and_over,Male,UKIP,Leave,a,1,5,5,5,5,4,5,5,5,5,5,1,1,1,2,5,A,b,2,1,1,1,3,8,1,1,8,1,2,9,4,6,3,9,3,1,9,1,4,2,8,7,90
study3,51,20160430,8f601f67d395ac8e95881ddde6ddff6a,04/30/2016 7:44,04/30/2016 7:50,6,Keep,GB,80730e45ccb7989e9fe6bd14836cd65090f4bc6a2802147c5aefb33e79f6d7ed,5,Age 55-64,3,55_and_over,Male,NoVote,Leave,a,4,5,2,3,5,4,5,3,5,4,5,1,3,1,1,3,B,b,2,1,4,1,6,3,1,4,3,1,3,2,9,7,2,1,4,7,9,1,3,3,8,1,78
study3,52,20160430,e656f85ce704355852f207abc246293e,04/30/2016 7:46,04/30/2016 7:54,8,Keep,GB,451ae996730548246f7f075f74f2446a865fd3644b0c7adb716ae1d0ff2d57a5,1,Age 18-24,1,18_to_34,Male,Labour,Remain,a,1,1,1,4,1,1,1,1,1,3,1,2,1,1,1,3,A,a,1,0,5,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28
study3,53,20160430,dd2fa301e9bfea1b7d60096266fd5081,04/30/2016 7:52,04/30/2016 8:00,8,Keep,GB,4e89be27c96bc03cb25736f55c19cc43c62893ca8f2e11a096fc2de2daa16633,1,Age 18-24,1,18_to_34,Female,Green,Remain,a,1,4,1,1,2,1,1,1,1,1,1,2,4,1,1,1,A,b,2,1,2,1,9,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,36
study3,54,20160430,496dfc4ce3c411bfdbc76f608e1a1ab8,04/30/2016 7:59,04/30/2016 8:13,14,Keep,GB,542a52d02136a8c046c246ab1a4c14a35a739ce08c3a2cd185bcf6e230a2d422,6,Age 65+,3,55_and_over,Male,Con,Leave,a,3,5,1,5,5,2,5,5,1,4,5,2,3,2,1,4,B,b,2,1,7,1,3,8,7,3,9,2,6,7,4,8,2,6,3,5,6,1,4,4,7,5,100
study3,55,20160430,154efab695a37b15690a28f2a8ecc965,04/30/2016 8:13,04/30/2016 8:21,8,Keep,GB,22c543a7ec45e2733674c70d0307dab095e18d19371b364b52e0466406654a84,4,Age 45-54,2,35_to_54,Female,Labour,Remain,a,1,5,4,4,4,1,5,2,4,2,1,1,1,1,1,3,B,b,2,1,2,1,9,1,1,1,3,3,1,1,2,3,1,3,1,1,1,1,1,2,4,5,45
study3,56,20160430,e296e413f58fab811ee975eca2d72aba,04/30/2016 8:19,04/30/2016 8:28,9,Keep,GB,0dc55c484a6cee920d0d1e5bffe8ad8301dc527b4aab4e2d8c140c8b2861e662,3,Age 35-44,2,35_to_54,Male,Labour,Remain,a,1,4,1,2,2,1,1,1,2,2,1,4,1,1,1,2,A,b,2,1,4,1,9,1,3,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,33
study3,57,20160430,cd395212cbce7253610b4010d44c0e4d,04/30/2016 8:22,04/30/2016 8:29,7,Keep,GB,f87d8e4dfe8dd8a958ee7f3a662f80cff98315b148f0f8eeb1dbe7960b11a331,4,Age 45-54,2,35_to_54,Male,UKIP,Leave,a,1,5,4,4,5,4,5,5,3,5,5,1,5,2,3,4,B,a,1,0,3,1,8,2,4,5,5,1,5,4,5,8,6,5,6,1,7,2,6,7,5,4,96
study3,58,20160430,5394f2bfbc7c737b48886a70944ed1db,04/30/2016 8:29,04/30/2016 8:36,7,Keep,GB,28c2c8494c940e0885bdeb1e9e738879dcde59b6578d6d0ac132ec9a7b8a15f7,2,Age 25-34,1,18_to_34,Male,Labour,Remain,a,1,1,2,3,2,1,2,1,4,1,1,1,4,1,1,2,B,b,2,1,2,1,9,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9,1,9,1,1,45
study3,59,20160430,088a7ed639047e3a3a03ebe342d51615,04/30/2016 8:32,04/30/2016 8:38,6,Keep,GB,f22fa20b481a7b8e74e745094fa79cf0910283c473168d01bbf8b8f7754d0c84,5,Age 55-64,3,55_and_over,Female,UKIP,Leave,a,1,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,A,a,1,0,1,1,1,1,1,1,9,1,1,9,1,9,1,9,1,1,9,1,9,1,1,9,76
study3,60,20160430,95dc78ccbfb3f332dff27144dec56cf5,04/30/2016 8:32,04/30/2016 8:42,10,Keep,GB,36bc4ee0f6dfc379e48df9bea3b65eb2ed1746ff139444f4d0e937f07dde8cf4,6,Age 65+,3,55_and_over,Male,LibDem,Remain,a,5,2,1,3,3,1,1,5,4,1,1,1,1,1,1,1,B,b,2,1,3,1,8,2,2,2,5,2,2,7,2,5,2,4,3,3,3,1,3,2,2,3,63
